stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
SPTL,Sintex Plastics Technology Limited,EQ,8-Aug-17,INE501W01021,,#N/A,Sarla Performan,Textiles - Processing,22.3,0.85,3.96,186,Manufacturing 
SPYL,Shekhawati Poly-Yarn Limited,BE,12-Jan-11,INE268L01020,,#N/A,RSWM,Textiles - Spinning - Synthetic Blended,125.7,4.75,3.93,296,Manufacturing 
SREEL,Sreeleathers Limited,EQ,1-Jan-14,INE099F01013,,#N/A,AMJ Land,Paper,26.9,1,3.86,110,Manufacturing 
SREINFRA,SREI Infrastructure Finance Limited,EQ,20-Dec-95,INE872A01014,,#N/A,SEL Mgf Company,Textiles - General,2.7,0.1,3.85,89,Manufacturing 
SRF,SRF Limited,EQ,18-Aug-03,INE647A01010,,#N/A,Lakshmi Prec,Fasteners,4.1,0.15,3.8,4,Manufacturing 
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,8-May-07,INE917H01012,,#N/A,Integra Garment,Textiles - Readymade Apparels,1.4,0.05,3.7,5,Manufacturing 
SRIPIPES,Srikalahasthi Pipes Limited,EQ,28-Aug-07,INE943C01027,,#N/A,Sterling Tools,Fasteners,200,7.05,3.65,720,Manufacturing 
SRPL,Shree Ram Proteins Limited,EQ,23-Sep-20,INE008Z01012,,#N/A,Bang Overseas,Textiles - General,24.6,0.85,3.58,33,Manufacturing 
SRTRANSFIN,Shriram Transport Finance Company Limited,EQ,11-Dec-96,INE721A01013,,#N/A,Dixon Technolog,Electricals,13065,434.4,3.44,"15,299",Manufacturing 
SSWL,Steel Strips Wheels Limited,EQ,6-Jun-05,INE802C01017,,#N/A,Mayur Uniquoter,Plastics,291.95,9.5,3.36,"1,323",Manufacturing 
STAMPEDE,Stampede Capital Limited,BE,25-Jul-16,INE224E01028,,#N/A,Ballarpur Ind,Paper,1.65,0.05,3.12,213,Manufacturing 
STAR,Strides Pharma Science Limited,EQ,2-Feb-00,INE939A01011,,#N/A,Hilton Metal,Castings & Forgings,11.65,0.35,3.1,14,Manufacturing 
STARCEMENT,Star Cement Limited,EQ,16-Jun-17,INE460H01021,,#N/A,Shreyans Ind,Paper,88.1,2.55,2.98,122,Manufacturing 
STARPAPER,Star Paper Mills Limited,EQ,13-Sep-95,INE733A01018,,#N/A,Genus Power,Electricals,35.25,1,2.92,907,Manufacturing 
STCINDIA,The State Trading Corporation of India Limited,EQ,1-Apr-03,INE655A01013,,#N/A,Salona Cotspin,Textiles - Spinning - Cotton Blended,67.95,1.9,2.88,36,Manufacturing 
STEELCITY,Steel City Securities Limited,EQ,27-Jun-19,INE395H01011,,#N/A,Everest Kanto,Packaging,51.9,1.4,2.77,582,Manufacturing 
STEELXIND,STEEL EXCHANGE INDIA LIMITED,EQ,20-Jul-17,INE503B01013,,#N/A,Responsive Ind,Construction & Contracting - Civil,190,5.1,2.76,"5,071",Manufacturing 
STEL,Stel Holdings Limited,EQ,9-Feb-11,INE577L01016,,#N/A,Arvind,Textiles - Denim,45.35,1.2,2.72,"1,174",Manufacturing 
STERTOOLS,Sterling Tools Limited,EQ,2-Feb-06,INE334A01023,,#N/A,Tokyo Plast,Plastics,69.7,1.75,2.58,66,Manufacturing 
STINDIA,STI India Limited,BZ,6-Dec-95,INE090C01019,,#N/A,Bharat Elec,Electricals,117.6,2.95,2.57,"28,654",Manufacturing 
STLTECH,Sterlite Technologies Limited,EQ,8-Dec-00,INE089C01029,,#N/A,Damodar Ind,Textiles - Spinning - Synthetic Blended,30.4,0.7,2.36,71,Manufacturing 
SUBCAPCITY,International Constructions Limited,BE,10-Jul-96,INE845C01016,,#N/A,Emmbi Ind,Packaging,79.6,1.75,2.25,141,Manufacturing 
SUBEXLTD,Subex Limited,EQ,5-Nov-20,INE754A01055,,#N/A,Sundram,Fasteners,554.7,11.7,2.15,"11,656",Manufacturing 
SUBROS,Subros Limited,EQ,13-Jul-05,INE287B01021,,#N/A,Supreme Ind,Plastics,1734.4,35.6,2.1,"22,032",Manufacturing 
SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,25-May-95,INE659A01023,,#N/A,Magnum Ventures,Paper,4.9,0.1,2.08,18,Manufacturing 
SUJANAUNI,Sujana Universal Industries Limited,BE,19-Feb-08,INE216G01011,,#N/A,Borosil,Glass & Glass Products,133.9,2.65,2.02,"1,527",Manufacturing 
SUMEETINDS,Sumeet Industries Limited,EQ,10-Dec-10,INE235C01010,,#N/A,Ambika Cotton,Textiles - Spinning - Cotton Blended,840,16.55,2.01,481,Manufacturing 
SUMICHEM,Sumitomo Chemical India Limited,EQ,27-Jan-20,INE258G01013,,#N/A,Nahar Spinning,Textiles - Hosiery & Knitwear,60.55,1.15,1.94,218,Manufacturing 
SUMIT,Sumit Woods Limited,EQ,30-Jul-19,INE748Z01013,,#N/A,Sumeet Ind,Textiles - Manmade,2.65,0.05,1.92,27,Manufacturing 
SUMMITSEC,Summit Securities Limited,EQ,28-Jan-11,INE519C01017,,#N/A,STL Global,Textiles - General,8.05,0.15,1.9,22,Manufacturing 
SUNCLAYLTD,Sundaram Clayton Limited,EQ,23-Oct-12,INE105A01035,,#N/A,Filatex India,Textiles - Manmade,40,0.65,1.65,883,Manufacturing 
SUNDARAM,Sundaram Multi Pap Limited,EQ,2-Jun-10,INE108E01023,,#N/A,Page Industries,Textiles - Readymade Apparels,23940,382.1,1.62,"26,702",Manufacturing 
SUNDARMFIN,Sundaram Finance Limited,EQ,7-Jan-98,INE660A01013,,#N/A,RamkrishnaForge,Castings & Forgings,493.1,7.8,1.61,"1,577",Manufacturing 
SUNDARMHLD,Sundaram Finance Holdings Limited,EQ,26-Mar-18,INE202Z01029,,#N/A,Astral Poly Tec,Plastics,1491,22.6,1.54,"22,467",Manufacturing 
SUNDRMBRAK,Sundaram Brake Linings Limited,EQ,17-Jul-96,INE073D01013,,#N/A,Indo Rama Synth,Textiles - Spinning - Synthetic Blended,36.55,0.55,1.53,954,Manufacturing 
SUNDRMFAST,Sundram Fasteners Limited,EQ,7-Jun-00,INE387A01021,,#N/A,Nelcast,Castings & Forgings,61.25,0.9,1.49,533,Manufacturing 
SUNFLAG,Sunflag Iron And Steel Company Limited,EQ,29-Sep-05,INE947A01014,,#N/A,AMD Industries,Packaging,17.4,0.25,1.46,33,Manufacturing 
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,8-Feb-95,INE044A01036,,#N/A,Time Techno,Packaging,48.75,0.7,1.46,"1,102",Manufacturing 
SUNTECK,Sunteck Realty Limited,EQ,13-Nov-09,INE805D01034,,#N/A,Siyaram Silk,Textiles - Weaving,177.7,2.55,1.46,833,Manufacturing 
SUNTV,Sun TV Network Limited,EQ,24-Apr-06,INE424H01027,,#N/A,JK Paper,Paper,103.2,1.4,1.38,"1,748",Manufacturing 
SUPERHOUSE,Superhouse Limited,EQ,26-Sep-14,INE712B01010,,#N/A,Vardhman Text,Textiles - Spinning - Cotton Blended,990,12.75,1.3,"5,694",Manufacturing 
SUPERSPIN,Super Spinning Mills Limited,EQ,8-Jul-04,INE662A01027,,#N/A,Andhra Paper,Paper,211,2.4,1.15,839,Manufacturing 
SUPPETRO,Supreme Petrochem Limited,EQ,13-Oct-99,INE663A01017,,#N/A,Pil Italica,Plastics,9.7,0.1,1.04,228,Manufacturing 
SUPRAJIT,Suprajit Engineering Limited,EQ,18-Feb-05,INE399C01030,,#N/A,Indian Terrain,Textiles - Readymade Apparels,34.2,0.35,1.03,141,Manufacturing 
SUPREMEENG,Supreme Engineering Limited,EQ,4-Dec-20,INE319Z01013,,Trident Limited,Trident,Textiles - Spinning - Cotton Blended,9.95,0.1,1.02,"5,070",Manufacturing 
SUPREMEIND,Supreme Industries Limited,EQ,19-Jul-95,INE195A01028,,#N/A,Celebrity Fash,Textiles - Readymade Apparels,5.05,0.05,1,24,Manufacturing 
SUPREMEINF,Supreme Infrastructure India Limited,BZ,18-Oct-07,INE550H01011,,#N/A,Xpro India,Packaging,35.5,0.35,1,42,Manufacturing 
SURANASOL,Surana Solar Limited,EQ,7-Jan-11,INE272L01022,,#N/A,TCNS Clothing C,Textiles - General,420.05,4.1,0.99,"2,584",Manufacturing 
SURANAT&P,Surana Telecom and Power Limited,EQ,22-May-02,INE130B01031,,#N/A,Shiva Texyarn,Textiles - Spinning - Cotton Blended,92.25,0.9,0.99,120,Manufacturing 
SURYALAXMI,Suryalakshmi Cotton Mills Limited,EQ,15-Jun-05,INE713B01026,,#N/A,Super Spinning,Textiles - Spinning - Cotton Blended,5.2,0.05,0.97,29,Manufacturing 
SURYAROSNI,Surya Roshni Limited,EQ,10-May-95,INE335A01012,,#N/A,Dollar Ind,Textiles - Readymade Apparels,181.65,1.7,0.94,"1,030",Manufacturing 
SUTLEJTEX,Sutlej Textiles and Industries Limited,EQ,14-Dec-06,INE645H01027,,#N/A,Genus Paper,Paper,5.65,0.05,0.89,145,Manufacturing 
SUULD,Suumaya Lifestyle Limited,EQ,19-Oct-20,INE591Q01016,,#N/A,Nahar Poly Film,Textiles - Spinning - Cotton Blended,87,0.75,0.87,214,Manufacturing 
SUVEN,Suven Life Sciences Limited,EQ,23-Oct-03,INE495B01038,,#N/A,Vardhman Hold,Finance - Investments,1450,12.35,0.86,463,Manufacturing 
SUVENPHAR,Suven Pharmaceuticals Limited,EQ,9-Mar-20,INE03QK01018,,#N/A,Orbit Exports,Textiles - Weaving,71.6,0.6,0.85,196,Manufacturing 
SUZLON,Suzlon Energy Limited,BE,19-Oct-05,INE040H01021,,#N/A,Ruby Mills,Textiles - Composite Mills,186.7,1.55,0.84,312,Manufacturing 
SWANENERGY,Swan Energy Limited,EQ,29-May-12,INE665A01038,,#N/A,Astron Paper &,Paper,55.85,0.45,0.81,260,Manufacturing 
SWARAJENG,Swaraj Engines Limited,EQ,6-Dec-95,INE277A01016,,#N/A,Lux Industries,Textiles - Processing,1562.85,12.2,0.79,"3,947",Manufacturing 
SWELECTES,Swelect Energy Systems Limited,EQ,9-May-06,INE409B01013,,#N/A,Morarjee Text,Textiles - Spinning - Cotton Blended,14.5,0.1,0.69,53,Manufacturing 
SWSOLAR,Sterling And Wilson Solar Limited,EQ,20-Aug-19,INE00M201021,,#N/A,Alicon Castallo,Castings & Forgings,349.55,1.85,0.53,486,Manufacturing 
SYMPHONY,Symphony Limited,EQ,15-Jun-11,INE225D01027,,#N/A,Pioneer,Textiles - Hosiery & Knitwear,28.5,0.15,0.53,71,Manufacturing 
SYNCOM,Syncom Healthcare Limited,BZ,15-Feb-10,INE602K01014,,#N/A,Gokaldas Export,Textiles - Readymade Apparels,83.6,0.4,0.48,359,Manufacturing 
SYNGENE,Syngene International Limited,EQ,11-Aug-15,INE398R01022,,#N/A,Raymond,Textiles - Woollen & Worsted,331.55,1.55,0.47,"2,207",Manufacturing 
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,EQ,27-Jul-95,INE123C01018,,#N/A,Monte Carlo,Textiles - Readymade Apparels,235.4,1.1,0.47,488,Manufacturing 
TAJGVK,Taj GVK Hotels & Resorts Limited,EQ,20-Dec-00,INE586B01026,,#N/A,Suryalakshmi Co,Textiles - Spinning - Cotton Blended,23.75,0.1,0.42,40,Manufacturing 
TAKE,Take Solutions Limited,EQ,27-Aug-07,INE142I01023,,#N/A,Pearl Global In,Textiles - Readymade Apparels,174,0.7,0.4,377,Manufacturing 
TALBROAUTO,Talbros Automotive Components Limited,EQ,29-Sep-06,INE187D01011,,#N/A,Bannari A Spg,Textiles - General,101.95,0.4,0.39,161,Manufacturing 
TALWALKARS,Talwalkars Better Value Fitness Limited,BZ,10-May-10,INE502K01016,,#N/A,Zodiac Clothing,Textiles - Readymade Apparels,103.65,0.4,0.39,233,Manufacturing 
TALWGYM,Talwalkars Healthclubs Limited,BZ,29-Jun-18,INE627Z01019,,#N/A,Cosmo Films,Plastics,456,1.75,0.39,886,Manufacturing 
TANLA,Tanla Platforms Limited,BE,5-Jan-07,INE483C01032,,#N/A,Shree Rama News,Paper,14.5,0.05,0.35,214,Manufacturing 
TANTIACONS,Tantia Constructions Limited,BZ,19-Feb-08,INE388G01018,,#N/A,Seshasayee Pape,Paper,150.45,0.5,0.33,949,Manufacturing 
TARMAT,Tarmat Limited,EQ,9-Jul-07,INE924H01018,,#N/A,Guj Raffia Ind,Packaging,16,0.05,0.31,9,Manufacturing 
TASTYBITE,Tasty Bite Eatables Limited,EQ,23-Mar-17,INE488B01017,,#N/A,Polyplex Corp,Packaging,772.5,2.4,0.31,"2,425",Manufacturing 
TATACHEM,Tata Chemicals Limited,EQ,1-Apr-99,INE092A01019,,#N/A,Vardhman Acryli,Textiles - Manmade,33.2,0.1,0.3,267,Manufacturing 
TATACOFFEE,Tata Coffee Limited,EQ,16-Feb-00,INE493A01027,,#N/A,Max Financial,Finance - Investments,635.75,1.65,0.26,"21,935",Manufacturing 
TATACOMM,Tata Communications Limited,EQ,12-Apr-95,INE151A01013,,#N/A,Ganesha Ecosph,Textiles - Processing,329.5,0.8,0.24,719,Manufacturing 
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-Nov-98,INE192A01025,,#N/A,Maral Overseas,Textiles - Spinning - Cotton Blended,22.3,0.05,0.22,93,Manufacturing 
TATAELXSI,Tata Elxsi Limited,EQ,17-Sep-03,INE670A01012,,#N/A,VIP Industries,,366.95,0.55,0.15,"5,186",Manufacturing 
TATAINVEST,Tata Investment Corporation Limited,EQ,24-Jun-98,INE672A01018,,#N/A,Balmer Lawrie,Diversified,116.45,0.15,0.13,"1,991",Manufacturing 
TATAMETALI,Tata Metaliks Limited,EQ,27-May-03,INE056C01010,,#N/A,TT,Textiles - Hosiery & Knitwear,43.95,0.05,0.11,94,Manufacturing 
TATAMOTORS,Tata Motors Limited,EQ,22-Jul-98,INE155A01022,,#N/A,Lovable Lingeri,Textiles - Readymade Apparels,98.8,0.1,0.1,146,Manufacturing 
TATAMTRDVR,Tata Motors Limited,EQ,5-Nov-08,IN9155A01020,,#N/A,Huhtamaki India,Packaging,306.45,0.25,0.08,"2,314",Manufacturing 
TATAPOWER,Tata Power Company Limited,EQ,3-Apr-96,INE245A01021,,#N/A,Star Paper,Paper,106.45,0.05,0.05,166,Manufacturing 
TATASTEEL,Tata Steel Limited,EQ,18-Nov-98,INE081A01012,,#N/A,PDS Multi,Textiles - General,416.1,0.1,0.02,"1,084",Manufacturing 
TATASTLBSL,Tata Steel Bsl Limited,EQ,21-Nov-03,INE824B01021,,#N/A,Bhandari Hosier,Textiles - Hosiery & Knitwear,1.4,0,0,21,Manufacturing 
TATASTLLP,Tata Steel Long Products Limited,EQ,24-Feb-03,INE674A01014,,#N/A,Century Enka,Textiles - Manmade,207.4,0,0,453,Manufacturing 
TBZ,Tribhovandas Bhimji Zaveri Limited,EQ,9-May-12,INE760L01018,,#N/A,Ginni Filaments,Textiles - Spinning - Cotton Blended,20.5,0,0,145,Manufacturing 
TCI,Transport Corporation of India Limited,EQ,21-Jan-02,INE688A01022,,#N/A,Precot Meridian,Textiles - Spinning - Cotton Blended,57.45,0,0,69,Manufacturing 
TCIDEVELOP,TCI Developers Limited,EQ,19-Apr-11,INE662L01016,,#N/A,Sanghvi Forging,Castings & Forgings,26,0,0,39,Manufacturing 
TCIEXP,TCI Express Limited,EQ,15-Dec-16,INE586V01016,,#N/A,Spentex Ind,Textiles - Spinning - Cotton Blended,0.7,0,0,6,Manufacturing 
TCIFINANCE,TCI Finance Limited,EQ,21-May-97,INE911B01018,,#N/A,Tijaria Polypip,Plastics,7.75,0,0,22,Manufacturing 
TCNSBRANDS,TCNS Clothing Co. Limited,EQ,30-Jul-18,INE778U01029,,#N/A,Worth Periphera,Packaging,46,0,0,72,Manufacturing 
TCPLPACK,TCPL Packaging Limited,EQ,17-Oct-17,INE822C01015,,Zicom Electronic Security Systems Limited,Zicom,Electricals,2.1,0,0,9,Manufacturing 
TCS,Tata Consultancy Services Limited,EQ,25-Aug-04,INE467B01029,,#N/A,West Coast Pap,Paper,174.2,-0.05,-0.03,"1,151",Manufacturing 
TDPOWERSYS,TD Power Systems Limited,EQ,8-Sep-11,INE419M01019,,#N/A,Asahi India,Glass & Glass Products,267,-0.1,-0.04,"6,491",Manufacturing 
TEAMLEASE,Teamlease Services Limited,EQ,12-Feb-16,INE985S01024,,#N/A,Jindal PolyFilm,Packaging,467.1,-0.25,-0.05,"2,045",Manufacturing 
TECHIN,Techindia Nirman Limited,EQ,8-Sep-11,INE778A01021,,#N/A,Hind Rectifiers,Electricals,149.5,-0.1,-0.07,248,Manufacturing 
TECHM,Tech Mahindra Limited,EQ,28-Aug-06,INE669C01036,,#N/A,Nilkamal,Plastics,1430,-1.75,-0.12,"2,134",Manufacturing 
TECHNOE,Techno Electric & Engineering Company Limited,EQ,4-Dec-18,INE285K01026,,#N/A,SRF,Diversified,5260.05,-7.9,-0.15,"31,163",Manufacturing 
TECHNOFAB,Technofab Engineering Limited,BZ,16-Jul-10,INE509K01011,,#N/A,CG Consumer,Electricals,330.45,-0.6,-0.18,"20,731",Manufacturing 
TEJASNET,Tejas Networks Limited,EQ,27-Jun-17,INE010J01012,,#N/A,B&B Triplewall,Packaging,40,-0.1,-0.25,82,Manufacturing 
TERASOFT,Tera Software Limited,EQ,29-Dec-16,INE482B01010,,#N/A,EPL,Packaging,259.55,-0.75,-0.29,"8,191",Manufacturing 
TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,9-Sep-04,INE435C01024,,#N/A,Sangam India,Textiles - Spinning - Synthetic Blended,61.75,-0.2,-0.32,243,Manufacturing 
TEXMOPIPES,Texmo Pipes and Products Limited,EQ,10-Mar-10,INE141K01013,,#N/A,Kitex Garments,Textiles - Readymade Apparels,115.6,-0.4,-0.34,769,Manufacturing 
TEXRAIL,Texmaco Rail & Engineering Limited,EQ,3-Mar-11,INE621L01012,,#N/A,Donear Ind,Textiles - Weaving,31.8,-0.15,-0.47,165,Manufacturing 
TFCILTD,Tourism Finance Corporation of India Limited,EQ,26-Jul-00,INE305A01015,,#N/A,La Opala RG,Glass & Glass Products,223.75,-1.1,-0.49,"2,484",Manufacturing 
TFL,Transwarranty Finance Limited,EQ,26-Feb-07,INE804H01012,,#N/A,TPL Plastech,Plastics,159.05,-0.85,-0.53,124,Manufacturing 
TGBHOTELS,TGB Banquets And Hotels Limited,EQ,17-May-07,INE797H01018,,#N/A,Ruchira Papers,Paper,65.4,-0.35,-0.53,159,Manufacturing 
THANGAMAYL,Thangamayil Jewellery Limited,EQ,19-Feb-10,INE085J01014,,#N/A,Ester Ind,Packaging,125.8,-0.75,-0.59,"1,049",Manufacturing 
THEINVEST,The Investment Trust Of India Limited,EQ,2-Aug-17,INE924D01017,,#N/A,Flexituff Ventu,Packaging,16.7,-0.1,-0.6,42,Manufacturing 
THEMISMED,Themis Medicare Limited,EQ,2-Apr-07,INE083B01016,,#N/A,Shri Rama Multi,Packaging,8,-0.05,-0.62,51,Manufacturing 
THERMAX,Thermax Limited,EQ,30-Aug-95,INE152A01029,,#N/A,Oricon Ent,Packaging,21.8,-0.15,-0.68,342,Manufacturing 
THIRUSUGAR,Thiru Arooran Sugars Limited,BZ,2-May-95,INE409A01015,,#N/A,Mold-Tek Pack,Plastics,288.1,-2,-0.69,804,Manufacturing 
THOMASCOOK,Thomas Cook  (India)  Limited,EQ,7-Jun-00,INE332A01027,,#N/A,Delta,Electricals,27.8,-0.2,-0.71,30,Manufacturing 
THOMASCOTT,Thomas Scott (India) Limited,BE,30-Jan-12,INE480M01011,,#N/A,BSL,Textiles - Weaving,33.7,-0.25,-0.74,35,Manufacturing 
THYROCARE,Thyrocare Technologies Limited,EQ,9-May-16,INE594H01019,,#N/A,SPL Industries,Textiles - Readymade Apparels,33.5,-0.25,-0.74,97,Manufacturing 
TI,Tilaknagar Industries Limited,EQ,16-Jul-10,INE133E01013,,#N/A,Globe Textiles,Textiles - General,60,-0.45,-0.74,60,Manufacturing 
TIDEWATER,Tide Water Oil Company (India) Limited,EQ,16-Jan-07,INE484C01022,,#N/A,Ausom Enterp,Finance - Investments,53.15,-0.4,-0.75,72,Manufacturing 
TIIL,Technocraft Industries (India) Limited,EQ,12-Feb-07,INE545H01011,,#N/A,Nandan Denim,Textiles - Denim,24.1,-0.2,-0.82,116,Manufacturing 
TIINDIA,Tube Investments of India Limited,EQ,2-Nov-17,INE974X01010,,#N/A,Indo Count,Textiles - Spinning - Cotton Blended,154.95,-1.3,-0.83,"3,059",Manufacturing 
TIJARIA,Tijaria Polypipes Limited,BE,14-Oct-11,INE440L01017,,#N/A,KPR Mill,Textiles - Readymade Apparels,860.5,-7.25,-0.84,"5,921",Manufacturing 
TIL,TIL Limited,EQ,27-Sep-95,INE806C01018,,UFLEX Limited,Uflex,Packaging,380.7,-3.25,-0.85,"2,749",Manufacturing 
TIMESGTY,Times Guaranty Limited,EQ,11-Jun-02,INE289C01025,,#N/A,Rupa and Comp,Textiles - Hosiery & Knitwear,227.45,-2,-0.87,"1,809",Manufacturing 
TIMETECHNO,Time Technoplast Limited,EQ,13-Jun-07,INE508G01029,,#N/A,Tamil Newsprint,Paper,115.8,-1.05,-0.9,801,Manufacturing 
TIMKEN,Timken India Limited,EQ,6-Feb-07,INE325A01013,,#N/A,Max Ventures an,Packaging,42.2,-0.4,-0.94,619,Manufacturing 
TINPLATE,The Tinplate Company of India Limited,EQ,27-Jan-06,INE422C01014,,#N/A,Garware Technic,Textiles - General,2162.25,-20.7,-0.95,"4,527",Manufacturing 
TIPSINDLTD,TIPS Industries Limited,EQ,10-Nov-00,INE716B01011,,#N/A,Bharat Forge,Castings & Forgings,546.8,-5.4,-0.98,"25,458",Manufacturing 
TIRUMALCHM,Thirumalai Chemicals Limited,EQ,14-May-03,INE338A01024,,#N/A,Mahindra CIE,Castings & Forgings,152.8,-1.6,-1.04,"5,791",Manufacturing 
TIRUPATIFL,Tirupati Forge Limited,BE,4-Aug-20,INE319Y01016,,#N/A,Sanco Ind,Plastics,13.75,-0.15,-1.08,14,Manufacturing 
TITAN,Titan Company Limited,EQ,24-Sep-04,INE280A01028,,#N/A,Nagreeka Export,Textiles - Spinning - Cotton Blended,18,-0.2,-1.1,22,Manufacturing 
TMRVL,The Mandhana Retail Ventures Limited,EQ,14-Dec-16,INE759V01019,,#N/A,Poddar Housing,Textiles - Readymade Apparels,178,-2.05,-1.14,112,Manufacturing 
TNPETRO,Tamilnadu PetroProducts Limited,EQ,27-Oct-99,INE148A01019,,#N/A,Kalyani Forge,Castings & Forgings,150.55,-1.75,-1.15,55,Manufacturing 
TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,14-Feb-96,INE107A01015,,#N/A,AYM Syntex,Textiles - Processing,42,-0.5,-1.18,210,Manufacturing 
TNTELE,Tamilnadu Telecommunication Limited,BE,4-Feb-03,INE141D01018,,#N/A,MM Forgings,Castings & Forgings,451.6,-5.4,-1.18,"1,090",Manufacturing 
TOKYOPLAST,Tokyo Plast International Limited,EQ,11-Oct-95,INE932C01012,,#N/A,NR Agarwal,Paper,209,-2.5,-1.18,356,Manufacturing 
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-Nov-02,INE685A01028,,#N/A,Tainwala Chem,Plastics,72.1,-0.9,-1.23,68,Manufacturing 
TORNTPOWER,Torrent Power Limited,EQ,28-Nov-06,INE813H01021,,#N/A,Plastiblends,Plastics,246.55,-3.2,-1.28,641,Manufacturing 
TOTAL,Total Transport Systems Limited,EQ,28-Aug-20,INE336X01012,,#N/A,Jain Irrigation,Plastics,18.85,-0.25,-1.31,936,Manufacturing 
TOUCHWOOD,Touchwood Entertainment Limited,EQ,21-Jan-20,INE486Y01013,,#N/A,Sintercom India,Castings & Forgings,75,-1,-1.32,182,Manufacturing 
TPLPLASTEH,TPL Plastech Limited,EQ,20-May-15,INE413G01014,,#N/A,Malu Paper,Paper,32.25,-0.45,-1.38,55,Manufacturing 
TREEHOUSE,Tree House Education & Accessories Limited,EQ,26-Aug-11,INE040M01013,,#N/A,Nitin Spinners,Textiles - Spinning - Cotton Blended,69.1,-1,-1.43,388,Manufacturing 
TREJHARA,TREJHARA SOLUTIONS LIMITED,EQ,28-Dec-18,INE00CA01015,,#N/A,Electrosteel,Castings & Forgings,23.65,-0.35,-1.46,"1,024",Manufacturing 
TRENT,Trent Limited,EQ,7-Jun-04,INE849A01020,,#N/A,Nahar Ent,Textiles - Composite Mills,36.5,-0.6,-1.62,145,Manufacturing 
TRF,TRF Limited,EQ,26-Mar-10,INE391D01019,,#N/A,Alok Industries,Textiles - Weaving,23.55,-0.45,-1.87,"11,693",Manufacturing 
TRIDENT,Trident Limited,EQ,21-Feb-01,INE064C01022,,#N/A,Mold Tek Tech,Packaging,52.9,-1.05,-1.95,148,Manufacturing 
TRIGYN,Trigyn Technologies Limited,EQ,9-Apr-98,INE948A01012,,#N/A,Vishal Fabrics,Textiles - Spinning - Cotton Blended,92.05,-1.85,-1.97,404,Manufacturing 
TRIL,Transformers And Rectifiers (India) Limited,EQ,28-Dec-07,INE763I01026,,#N/A,Pudumjee Paper,Paper,22.2,-0.45,-1.99,211,Manufacturing 
TRITURBINE,Triveni Turbine Limited,EQ,28-Oct-11,INE152M01016,,#N/A,Mohota Ind,Textiles - Composite Mills,9.75,-0.2,-2.01,14,Manufacturing 
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-Dec-05,INE256C01024,,#N/A,Himatsingka Sei,Textiles - Synthetic & Silk,143.25,-3.35,-2.29,"1,410",Manufacturing 
TTKHLTCARE,TTK Healthcare Limited,EQ,2-Dec-15,INE910C01018,,#N/A,Arrow Greentech,Plastics,52.1,-1.25,-2.34,73,Manufacturing 
TTKPRESTIG,TTK Prestige Limited,EQ,22-Dec-99,INE690A01010,,#N/A,GTN Industries,Textiles - Spinning - Cotton Blended,10.4,-0.25,-2.35,18,Manufacturing 
TTL,T T Limited,EQ,22-Feb-07,INE592B01016,,#N/A,Bombay Rayon,Textiles - General,12,-0.3,-2.44,381,Manufacturing 
TTML,Tata Teleservices (Maharashtra) Limited,BE,20-Oct-00,INE517B01013,,#N/A,Vardhman Poly,Textiles - Spinning - Cotton Blended,10.9,-0.3,-2.68,24,Manufacturing 
TV18BRDCST,TV18 Broadcast Limited,EQ,8-Feb-07,INE886H01027,,#N/A,SKS Textiles,Textiles - General,24.1,-0.85,-3.41,8,Manufacturing 
TVSELECT,TVS Electronics Limited,EQ,26-Dec-03,INE236G01019,,#N/A,Centum Electron,Electricals,367.5,-13.95,-3.66,474,Manufacturing 
TVSMOTOR,TVS Motor Company Limited,EQ,2-Aug-00,INE494B01023,,#N/A,LGB Forge,Castings & Forgings,3.9,-0.15,-3.7,93,Manufacturing 
TVSSRICHAK,TVS Srichakra Limited,EQ,13-Feb-07,INE421C01016,,#N/A,Thomas Scott,Textiles - Synthetic & Silk,5.75,-0.25,-4.17,2,Manufacturing 
TVTODAY,TV Today Network Limited,EQ,16-Jan-04,INE038F01029,,#N/A,Banswara Syntex,Textiles - Spinning - Synthetic Blended,110.95,-4.85,-4.19,190,Manufacturing 
TVVISION,TV Vision Limited,EQ,15-Sep-16,INE871L01013,,#N/A,Patspin India,Textiles - Spinning - Cotton Blended,5.55,-0.25,-4.31,17,Manufacturing 
TWL,Titagarh Wagons Limited,EQ,21-Apr-08,INE615H01020,,#N/A,Sintex Plastics,Plastics,3.2,-0.15,-4.48,202,Manufacturing 
UBL,United Breweries Limited,EQ,28-Jul-08,INE686F01025,,#N/A,STI India,Textiles - Spinning - Cotton Blended,3.15,-0.15,-4.55,9,Manufacturing 
